sku,Collection,Type,Handle,Variant Name,Variant Price,In Stock,URL,Image Src,Body
016 -Design 13 - Dusty Rose,Adamjee Lawn Festive Mid-Summer Collection 2016,Pakistani Suit,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 13 - Dusty Rose,Default Title,2775.00,No,https://www.yourlibaas.com/products/adamjee-lawn-festive-mid-summer-collection-2016-design-13-dusty-rose,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-13B-800x1167.jpg?v=1571438799,"<table id=""hb_msg_container"" class=""hb-headline-text"" width=""100%""><tbody><tr><td style=""width: 25.7009%;"">Brand</td><td style=""width: 72.1184%;"">Adamjee Lawn (100% Original)</td></tr><tr><td style=""width: 25.7009%;"">Fabric</td><td style=""width: 72.1184%;"">Cambric Shirt<br>Embroidered Neckline<br>Embroidered Organza Patti<br>Dyed Trouser 2.5m<br>Voil Dupatta 2.5m</td></tr><tr><td style=""width: 25.7009%;"">Size</td><td style=""width: 72.1184%;"">Free Size – Unstitched</td></tr><tr><td style=""width: 25.7009%;""><span>100% Original</span></td><td style=""width: 72.1184%;""><span>Authenticity Guaranteed</span></td></tr></tbody></table>"
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 13 - Dusty Rose,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/d13-back-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 13 - Dusty Rose,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/d13-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 13 - Dusty Rose,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-13C-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 13 - Dusty Rose,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-13-800x1167.jpg?v=1571438799,
16 -Design 7 - Retro Floral,Adamjee Lawn Festive Mid-Summer Collection 2016,Pakistani Suit,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 7 - Retro Floral,Default Title,2525.00,No,https://www.yourlibaas.com/products/adamjee-lawn-festive-mid-summer-collection-2016-design-7-retro-floral,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-7C-800x1167.jpg?v=1571438799,"<table id=""hb_msg_container"" class=""hb-headline-text"" width=""100%""><tbody><tr><td style=""width: 25.7009%;"">Brand</td><td style=""width: 72.1184%;"">Adamjee Lawn (100% Original)</td></tr><tr><td style=""width: 25.7009%;"">Fabric</td><td style=""width: 72.1184%;"">Cambric Shirt<br>Embroidered Neckline<br>Embroidered Organza Patti<br>Dyed Trouser 2.5m<br>Voil Dupatta 2.5m</td></tr><tr><td style=""width: 25.7009%;"">Size</td><td style=""width: 72.1184%;"">Free Size – Unstitched</td></tr><tr><td style=""width: 25.7009%;""><span>100% Original</span></td><td style=""width: 72.1184%;""><span>Authenticity Guaranteed</span></td></tr></tbody></table>"
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 7 - Retro Floral,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-7B-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 7 - Retro Floral,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/d07-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 7 - Retro Floral,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-7-800x1167.jpg?v=1571438799,
'-Design 10 - Secret Garden,Adamjee Lawn Festive Mid-Summer Collection 2016,Pakistani Suit,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 10 - Secret Garden,Default Title,2775.00,No,https://www.yourlibaas.com/products/adamjee-lawn-festive-mid-summer-collection-2016-design-10-secret-garden,https://cdn.shopify.com/s/files/1/0666/3041/products/d10-back-800x1167.jpg?v=1571438799,"<table id=""hb_msg_container"" class=""hb-headline-text"" width=""100%""><tbody><tr><td style=""width: 25.7009%;"">Brand</td><td style=""width: 72.1184%;"">Adamjee Lawn (100% Original)</td></tr><tr><td style=""width: 25.7009%;"">Fabric</td><td style=""width: 72.1184%;"">Cambric Shirt<br>Embroidered Neckline<br>Embroidered Organza Patti<br>Printed Trouser 2.5m<br>Voil Dupatta 2.5m</td></tr><tr><td style=""width: 25.7009%;"">Size</td><td style=""width: 72.1184%;"">Free Size – Unstitched</td></tr><tr><td style=""width: 25.7009%;""><span>100% Original</span></td><td style=""width: 72.1184%;""><span>Authenticity Guaranteed</span></td></tr></tbody></table>"
